StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,intro1_First Click,intro1_Last Click,intro1_Page Submit,intro1_Click Count,intro3_First Click,intro3_Last Click,intro3_Page Submit,intro3_Click Count,acc2_First Click,acc2_Last Click,acc2_Page Submit,acc2_Click Count,control_t_First Click,control_t_Last Click,control_t_Page Submit,control_t_Click Count,con_ret_t1_First Click,con_ret_t1_Last Click,con_ret_t1_Page Submit,con_ret_t1_Click Count,con_ret_1,Q404,Q407,Q408,Q409,Q410,Q411,Q412,post_t1_First Click,post_t1_Last Click,post_t1_Page Submit,post_t1_Click Count,post1_1,post1_2,post1_3,post1_4,post2_1,post2_2,post2_3,post2_4,post_t2_First Click,post_t2_Last Click,post_t2_Page Submit,post_t2_Click Count,post3_1,post3_2,post3_3,post3_4,post_t3_First Click,post_t3_Last Click,post_t3_Page Submit,post_t3_Click Count,co2_t_First Click,co2_t_Last Click,co2_t_Page Submit,co2_t_Click Count,co2_ret_t1_First Click,co2_ret_t1_Last Click,co2_ret_t1_Page Submit,co2_ret_t1_Click Count,co2_ret_1,co2_ret_2,co2_ret_3,co2_ret_4,Q400,Q401,Q402,Q414,graphic_t_First Click,graphic_t_Last Click,graphic_t_Page Submit,graphic_t_Click Count,dem_t1_First Click,dem_t1_Last Click,dem_t1_Page Submit,dem_t1_Click Count,dem_t2_First Click,dem_t2_Last Click,dem_t2_Page Submit,dem_t2_Click Count,dem_2,dem_2_3_TEXT,dem_2b,dem_t3_First Click,dem_t3_Last Click,dem_t3_Page Submit,dem_t3_Click Count,dem_3,dem_3b,dem_3c,dem_t4_First Click,dem_t4_Last Click,dem_t4_Page Submit,dem_t4_Click Count,dem_4,dem_4_6_TEXT,dem_4b,dem_4c_1,dem_4d_1,dem_t5_First Click,dem_t5_Last Click,dem_t5_Page Submit,dem_t5_Click Count,dem_5,dem_5_11_TEXT,dem_t6_First Click,dem_t6_Last Click,dem_t6_Page Submit,dem_t6_Click Count,dem_6,dem_t7_First Click,dem_t7_Last Click,dem_t7_Page Submit,dem_t7_Click Count,dem_7,dem_7_7_TEXT,dem_t8_First Click,dem_t8_Last Click,dem_t8_Page Submit,dem_t8_Click Count,dem_8,dem_8b,dem_t9_First Click,dem_t9_Last Click,dem_t9_Page Submit,dem_t9_Click Count,dem_9,dem_9c,fin_t_First Click,fin_t_Last Click,fin_t_Page Submit,fin_t_Click Count,SC0,mTurkCode,workerID,Condition
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Roughly how many tonnes of the Earth’s total carbon are above the planet’s surface?,Carbon is not required to form molecules like proteins and DNA.,"On Earth, where is most carbon stored?",Atmospheric carbon combines with which of the following to form carbonic acid?,Which of the following ions are released from rocks dissolved by acid rain?,Roughly how long does it take for organic carbon to form sedimentary rock like shale?,Roughly what percentage of carbon-containing rock is made from organic carbon sources?,Which of the following is not a way that carbon is released back into the atmosphere?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - I do not support the phasing out of fossil fuels.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Increasing carbon dioxide (CO₂) will negatively impact me.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - The amount of carbon dioxide (CO₂) in the atmosphere is higher today than 200 years ago.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Nearly all climate scientists agree that global warming is happening and caused by humans.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Human activities are largely responsible for global warming.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Please simply answer ""Somewhat Agree"".","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Global warming is not taking place, since there are years where the global temperature is down from the past year.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - I am not worried that increases in carbon dioxide (CO₂) in Earth's air will ever affect any human's reasoning abilities.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - I am confident that the amount of carbon dioxide (CO₂) in the atmosphere is significantly increasing.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - I am concerned about the effects of human-caused global warming.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - Please simply select the number equal to five minus three.","Please respond to the following items by indicating the degree to which you agree with each statement--by selecting a number on the 1 (Confidently Disagree) to 7 (Confidently Agree) scale below.    Please answer honestly regarding your true thoughts and beliefs. We underlined words that might be easy to misread like ""not"" and ""don't,"" but please be sure to read each item carefully. - I am concerned that rising carbon dioxide (CO₂) concentrations will impact my ability to think.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Current atmospheric CO2 levels are approximately how many parts per million (ppm)?,Which of the following is the name of the condition in which high concentrations of carbon dioxide (CO2) are toxic to humans?,Can increased carbon dioxide (CO2) exposure be potentially deadly to humans?,Which of the following are symptoms of acidosis?,Urban areas have reported CO2 levels as high as approximately how many parts per million (ppm)?,Which of the following is not mentioned in the text as an activity that transfers significant quantities of carbon into the atmosphere?,What is mentioned in the text as a way to help reduce increasing CO2  levels?,True or False: CO2 is generally less concentrated within enclosed spaces than it is in the atmosphere.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please enter your gender/sex. - Selected Choice,Please enter your gender/sex. - Other: - Text,How old are you?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Are you a U.S. citizen or permanent resident?,Were you born in the U.S.?,How many years have you been living in the U.S.? Please enter a number value.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What political party are you most affiliated with? - Selected Choice,What political party are you most affiliated with? - Other - Text,Do you consider yourself a member/supporter of the Tea Party?,"Respond to the following question on a 1 to 7 scale, where 1 is ""Extremely Liberal"" and 7 is ""Extremely Conservative."" - On most social issues, how liberal or conservative do you consider yourself?","Respond to the following question on a 1 to 7 scale, where 1 is ""Extremely Liberal"" and 7 is ""Extremely Conservative."" - On most economic issues, how liberal or conservative do you consider yourself?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your main religious affiliation? - Selected Choice,What is your main religious affiliation? - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is the highest level of education you have completed?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please state your ethnicity. - Selected Choice,Please state your ethnicity. - Other - Text,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"To the best of your knowledge, what is your total household income?",[Optional] Do you have one or more children?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Have you taken a similar survey in the last three months? If unsure, please write a few details regarding how the two surveys may have been similar:",Please provide any feedback you have about this survey.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Score,mTurkCode,workerID,Condition
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID287_FIRST_CLICK""}","{""ImportId"":""QID287_LAST_CLICK""}","{""ImportId"":""QID287_PAGE_SUBMIT""}","{""ImportId"":""QID287_CLICK_COUNT""}","{""ImportId"":""QID312_FIRST_CLICK""}","{""ImportId"":""QID312_LAST_CLICK""}","{""ImportId"":""QID312_PAGE_SUBMIT""}","{""ImportId"":""QID312_CLICK_COUNT""}","{""ImportId"":""QID361_FIRST_CLICK""}","{""ImportId"":""QID361_LAST_CLICK""}","{""ImportId"":""QID361_PAGE_SUBMIT""}","{""ImportId"":""QID361_CLICK_COUNT""}","{""ImportId"":""QID362_FIRST_CLICK""}","{""ImportId"":""QID362_LAST_CLICK""}","{""ImportId"":""QID362_PAGE_SUBMIT""}","{""ImportId"":""QID362_CLICK_COUNT""}","{""ImportId"":""QID314_FIRST_CLICK""}","{""ImportId"":""QID314_LAST_CLICK""}","{""ImportId"":""QID314_PAGE_SUBMIT""}","{""ImportId"":""QID314_CLICK_COUNT""}","{""ImportId"":""QID344_TEXT""}","{""ImportId"":""QID404""}","{""ImportId"":""QID407""}","{""ImportId"":""QID408""}","{""ImportId"":""QID409""}","{""ImportId"":""QID410""}","{""ImportId"":""QID411_TEXT""}","{""ImportId"":""QID412""}","{""ImportId"":""QID290_FIRST_CLICK""}","{""ImportId"":""QID290_LAST_CLICK""}","{""ImportId"":""QID290_PAGE_SUBMIT""}","{""ImportId"":""QID290_CLICK_COUNT""}","{""ImportId"":""QID374_20""}","{""ImportId"":""QID374_21""}","{""ImportId"":""QID374_56""}","{""ImportId"":""QID374_57""}","{""ImportId"":""QID393_1""}","{""ImportId"":""QID393_8""}","{""ImportId"":""QID393_6""}","{""ImportId"":""QID393_59""}","{""ImportId"":""QID389_FIRST_CLICK""}","{""ImportId"":""QID389_LAST_CLICK""}","{""ImportId"":""QID389_PAGE_SUBMIT""}","{""ImportId"":""QID389_CLICK_COUNT""}","{""ImportId"":""QID372_11""}","{""ImportId"":""QID372_12""}","{""ImportId"":""QID372_14""}","{""ImportId"":""QID372_59""}","{""ImportId"":""QID390_FIRST_CLICK""}","{""ImportId"":""QID390_LAST_CLICK""}","{""ImportId"":""QID390_PAGE_SUBMIT""}","{""ImportId"":""QID390_CLICK_COUNT""}","{""ImportId"":""QID366_FIRST_CLICK""}","{""ImportId"":""QID366_LAST_CLICK""}","{""ImportId"":""QID366_PAGE_SUBMIT""}","{""ImportId"":""QID366_CLICK_COUNT""}","{""ImportId"":""QID352_FIRST_CLICK""}","{""ImportId"":""QID352_LAST_CLICK""}","{""ImportId"":""QID352_PAGE_SUBMIT""}","{""ImportId"":""QID352_CLICK_COUNT""}","{""ImportId"":""QID355_TEXT""}","{""ImportId"":""QID397""}","{""ImportId"":""QID398""}","{""ImportId"":""QID399""}","{""ImportId"":""QID400_TEXT""}","{""ImportId"":""QID401""}","{""ImportId"":""QID402""}","{""ImportId"":""QID414""}","{""ImportId"":""QID396_FIRST_CLICK""}","{""ImportId"":""QID396_LAST_CLICK""}","{""ImportId"":""QID396_PAGE_SUBMIT""}","{""ImportId"":""QID396_CLICK_COUNT""}","{""ImportId"":""QID307_FIRST_CLICK""}","{""ImportId"":""QID307_LAST_CLICK""}","{""ImportId"":""QID307_PAGE_SUBMIT""}","{""ImportId"":""QID307_CLICK_COUNT""}","{""ImportId"":""QID291_FIRST_CLICK""}","{""ImportId"":""QID291_LAST_CLICK""}","{""ImportId"":""QID291_PAGE_SUBMIT""}","{""ImportId"":""QID291_CLICK_COUNT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_3_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID292_FIRST_CLICK""}","{""ImportId"":""QID292_LAST_CLICK""}","{""ImportId"":""QID292_PAGE_SUBMIT""}","{""ImportId"":""QID292_CLICK_COUNT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID293_FIRST_CLICK""}","{""ImportId"":""QID293_LAST_CLICK""}","{""ImportId"":""QID293_PAGE_SUBMIT""}","{""ImportId"":""QID293_CLICK_COUNT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID294_FIRST_CLICK""}","{""ImportId"":""QID294_LAST_CLICK""}","{""ImportId"":""QID294_PAGE_SUBMIT""}","{""ImportId"":""QID294_CLICK_COUNT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_10_TEXT""}","{""ImportId"":""QID295_FIRST_CLICK""}","{""ImportId"":""QID295_LAST_CLICK""}","{""ImportId"":""QID295_PAGE_SUBMIT""}","{""ImportId"":""QID295_CLICK_COUNT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID296_FIRST_CLICK""}","{""ImportId"":""QID296_LAST_CLICK""}","{""ImportId"":""QID296_PAGE_SUBMIT""}","{""ImportId"":""QID296_CLICK_COUNT""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_6_TEXT""}","{""ImportId"":""QID297_FIRST_CLICK""}","{""ImportId"":""QID297_LAST_CLICK""}","{""ImportId"":""QID297_PAGE_SUBMIT""}","{""ImportId"":""QID297_CLICK_COUNT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID298_FIRST_CLICK""}","{""ImportId"":""QID298_LAST_CLICK""}","{""ImportId"":""QID298_PAGE_SUBMIT""}","{""ImportId"":""QID298_CLICK_COUNT""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID40_TEXT""}","{""ImportId"":""QID299_FIRST_CLICK""}","{""ImportId"":""QID299_LAST_CLICK""}","{""ImportId"":""QID299_PAGE_SUBMIT""}","{""ImportId"":""QID299_CLICK_COUNT""}","{""ImportId"":""SC_23OOSNLipyPIYOG""}","{""ImportId"":""mTurkCode""}","{""ImportId"":""workerID""}","{""ImportId"":""Condition""}"
2021-03-31 16:36:53,2021-03-31 16:41:05,0,100,252,1,2021-03-31 16:41:05,R_3s6QUCQvGNRyPm3,anonymous,EN,0.8000000000000000444089209850062616169452667236328125,0,0,66.376,0,2.811,2.811,6.519,1,1.655,1.936,33.798,2,0,0,8.478,0,9.733,20.992,23.179,8,1,2,2,3,2,5,1,1,1.592,8.351,14.855,4,3,4,4,7,3,4,6,5,1.033,6.779,8.191,4,7,7,4,7,1.366,6.436,7.39,5,,,,,,,,,,,,,,,,,,,,,0,0,3.921,0,0.909,5.031,6.805,2,1,,1,5.316,7.183,8.749,3,2,2,1,0.807,8.874,16.495,4,5,,1,5,5,1.08,5.986,6.551,2,1,,0.649,0.649,2.56,1,7,2.558,9.656,11.907,4,8,,1.971,2.812,4.466,2,13,4,1.947,1.947,5.149,1,1,,0,0,6.145,0,3,59304253,,1
2021-04-02 08:02:39,2021-04-02 08:09:33,0,100,413,1,2021-04-02 08:09:33,R_Oy9yYYRhdTPEYjn,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,11.135,11.135,16.89,1,10.18,10.18,11.934,1,0,0,10.14,0,,,,,,,,,,,,,,,,,6.361,17.254,19.424,4,2,5,7,6,6,5,1,2,5.275,15.098,16.313,5,6,6,2,3,7.572,21.064,21.935,4,,,,,25.109,156.583,157.548,9,400,3,1,4,500,3,2,2,1.34,64.146,82.763,4,0,0,3.285,0,1.268,3.16,4.902,2,2,,7,1.548,3.965,6.853,3,1,1,53,1.821,13.707,14.521,5,1,,2,1,4,2.006,2.006,6.151,1,1,,1.73,1.73,2.912,1,8,1.429,1.429,3.104,1,1,,1.415,7.916,10.067,2,2,4,3.581,3.581,9.384,1,no,,6.692,7.237,8.391,2,8,92836469,,3
2021-04-02 08:03:22,2021-04-02 08:09:47,0,100,384,1,2021-04-02 08:09:47,R_2EhsgoAv7e1JNoA,anonymous,EN,1,6.738,6.738,8.533,1,0,0,5.046,0,0.818,0.818,10.739,1,,,,,,,,,,,,,,,,,1.059,30.085,30.859,6,2,6,7,6,6,5,1,2,0.802,16.254,17.694,5,7,7,2,3,0.78,16.778,18.064,5,,,,,5.409,107.189,108.261,28,400,3,1,4,500,3,2,2,0.501,0.501,89.975,1,0.965,0.965,3.957,1,1.05,5.029,7.482,4,2,,4,1.163,5.17,7.889,4,1,1,36,1.596,14.482,15.453,7,3,,2,2,4,1.876,5.531,6.417,3,4,,2.358,5.121,5.783,3,8,0.858,2.003,2.94,2,1,,0.99,7.78,9.585,4,7,1,1.262,8.18,11.389,4,No.,Well done.,6.086,6.086,8.384,1,8,24971374,,3
2021-04-02 08:01:14,2021-04-02 08:09:47,0,100,513,1,2021-04-02 08:09:48,R_ZjwWVzE3zCPsHgl,anonymous,EN,1,0,0,15.554,0,0,0,8.796,0,0,0,19.315,0,0,0,156.299,0,17.514,95.94,98.105,8,do not recall,2,2,5,4,3,do not recall,3,12.927,26.758,27.886,4,1,6,7,7,7,5,1,6,16.152,45.866,46.941,4,7,7,2,1,7.384,24.592,26.563,4,,,,,,,,,,,,,,,,,,,,,0,0,3.901,0,2.257,6.359,8.43,2,1,,9,2.283,5.476,9.057,3,1,1,62,2.724,20.731,22.316,4,1,,2,1,1,2.91,2.91,9.332,1,5,,3.911,3.911,5.822,1,11,2.356,2.356,5.049,1,1,,7.583,10.879,12.654,2,11,1,9.888,9.888,15.181,1,no,,0,0,9.542,0,4,17241441,,1
2021-04-02 08:00:32,2021-04-02 08:10:12,0,100,580,1,2021-04-02 08:10:12,R_2wREGlkC7Q6yHqT,anonymous,EN,0.90000000000000002220446049250313080847263336181640625,0,0,6.405,0,0,0,3.133,0,0,0,3.517,0,,,,,,,,,,,,,,,,,3.122,11.546,13.004,6,1,6,7,7,7,5,1,2,5.7,12.789,13.692,5,6,7,2,6,168.7,179.341,180.776,6,0,0,252.866,0,1.901,48.089,48.835,9,280,5,1,4,500,5,4,2,,,,,2.925,2.925,3.234,1,1.532,3.749,5.27,2,2,,6,1.561,3.52,5.669,3,1,1,49,1.945,6.865,7.812,4,1,,2,1,2,1.58,1.58,5.924,1,1,,1.954,1.954,3.124,1,5,1.036,1.036,3.212,1,1,,2.363,3.625,4.54,2,12,1,3.116,3.116,6.205,1,no,,0,0,6.179,0,4,74086011,,2
2021-04-02 08:04:35,2021-04-02 08:10:47,0,100,371,1,2021-04-02 08:10:47,R_ONlIheP8tNpzqil,anonymous,EN,1,0,0,28.577,0,0,0,4.066,0,5.55,5.55,6.119,1,,,,,,,,,,,,,,,,,1.817,14.778,15.345,6,2,6,7,6,6,5,2,2,2.601,13.683,14.495,7,5,6,2,6,1.327,6.73,12.245,4,15.361,15.361,39.775,1,0.994,184.759,185.266,12,410,3,1,4,500,4,4,3,,,,,0,0,3.274,0,0.95,2.274,4.004,2,2,,2,1.111,3.043,4.856,3,1,1,29,1.531,6.729,7.423,4,1,,2,3,3,1.354,5.628,6.068,2,2,,1.722,3.137,4.207,2,8,1.548,1.548,2.854,1,5,,2.119,7.275,7.406,3,10,2,1.794,1.794,5.814,1,no,,0,0,5.984,0,5,68218722,,2
2021-04-02 08:06:55,2021-04-02 08:11:19,0,100,263,1,2021-04-02 08:11:19,R_3k0Mb0XIiIUwdte,anonymous,EN,1,0,0,6.187,0,0,0,3.144,0,0,0,8.61,0,,,,,,,,,,,,,,,,,7.831,15.563,16.249,5,1,7,7,6,7,5,1,1,5.103,11.377,12.376,4,6,6,2,6,3.377,12.551,13.708,6,,,,,1.029,34.421,35.361,10,400,3,4,4,500,3,2,2,0,0,91.995,0,0,0,2.907,0,0.575,1.438,3.821,2,1,,2,0.841,2.444,4.026,4,1,1,30,0.905,6.389,7.817,4,1,,2,2,3,1.625,1.625,6.139,1,2,,1.598,3.182,4.232,3,4,0.813,0.813,2.677,1,1,,1.964,5.36,6.115,3,8,4,7.007,7.296,9.783,2,no,,0,0,5.949,0,7,9958828,,3
2021-04-02 08:02:23,2021-04-02 08:11:29,0,100,545,1,2021-04-02 08:11:29,R_3KDu66oOLALJTAO,anonymous,EN,1,0,0,7.593,0,0,0,11.505,0,0,0,16.423,0,,,,,,,,,,,,,,,,,4.549,29.337,35.844,5,1,7,7,6,7,5,1,1,0.926,16.79,20.02,5,7,7,2,7,6.143,16.478,17.091,4,81.645,272.662,273.383,10,2.123,87.997,89.959,10,400,3,1,4,600,3,2,2,,,,,0,0,2.913,0,1.627,2.883,4.16,2,1,,2,2.368,4.722,10.781,3,1,1,30,1.516,9.528,13.187,4,1,,2,2,2,1.186,1.186,7.257,1,2,,2.092,2.092,3.46,1,8,0.717,0.717,2.578,1,1,,0.962,4.413,7.085,2,2,3,3.087,3.087,6.921,1,No,,0,0,6.442,0,7,31635665,,2
